UQID,Category,DateTimeStamp
1,G,2022-03-11 17:25:53.686665
2,C,2022-03-11 17:26:13.113200
3,E,2022-03-11 17:26:46.118170
4,C,2022-03-11 17:26:51.894492
5,G,2022-03-11 17:27:04.287140
6,H,2022-03-11 17:28:13.739522
7,A,2022-03-11 17:28:25.484661
8,H,2022-03-11 17:29:06.361776
9,G,2022-03-11 17:29:37.268673
10,A,2022-03-11 17:29:44.311451
11,E,2022-03-11 17:30:53.282733
12,G,2022-03-11 17:31:00.421308
13,B,2022-03-11 17:31:08.430096
14,C,2022-03-11 17:31:11.945089
15,H,2022-03-11 17:31:22.507667
16,A,2022-03-11 17:31:23.094658
17,C,2022-03-11 17:31:45.745637
18,B,2022-03-11 17:31:47.310251
19,A,2022-03-11 17:32:27.029798
20,G,2022-03-11 17:32:30.570808
21,D,2022-03-11 17:32:41.106521
22,G,2022-03-11 17:33:38.201170
23,G,2022-03-11 17:33:51.195208
24,I,2022-03-11 17:34:02.567418
25,I,2022-03-11 17:34:09.283114
26,A,2022-03-11 17:34:13.015028
27,C,2022-03-11 17:34:28.834078
28,D,2022-03-11 17:35:43.829822
29,J,2022-03-11 17:35:49.809226
30,C,2022-03-11 17:35:52.587821
31,H,2022-03-11 17:36:13.024449
32,H,2022-03-11 17:36:33.273955
33,D,2022-03-11 17:36:59.365096
34,G,2022-03-11 17:37:59.581702
35,A,2022-03-11 17:38:30.260437
36,G,2022-03-11 17:38:30.623160
37,B,2022-03-11 17:38:45.948320
38,C,2022-03-11 17:39:55.665419
39,D,2022-03-11 17:40:20.640995
40,G,2022-03-11 17:41:45.872316
41,F,2022-03-11 17:41:53.056483
42,B,2022-03-11 17:42:07.042341
43,B,2022-03-11 17:42:34.260834
44,A,2022-03-11 17:43:30.471931
45,E,2022-03-11 17:43:36.064846
46,J,2022-03-11 17:43:44.642487
47,J,2022-03-11 17:44:19.864531
48,C,2022-03-11 17:44:32.738477
49,G,2022-03-11 17:44:43.591742
50,A,2022-03-11 17:45:01.075790
51,J,2022-03-11 17:45:39.865874
52,B,2022-03-11 17:45:58.343884
