UQID,Category,DateTimeIncrement
10,A,78826.79000000001
16,A,98783.20700000001
19,A,63935.14
26,A,105985.23
35,A,257245.40899999999
44,A,300211.494
50,A,90603.859
56,A,75923.958
63,A,155030.695
66,A,85474.26
77,A,173928.087
78,A,21436.296
79,A,8761.702
81,A,35677.42
85,A,49936.996
88,A,27143.645
97,A,167535.41100000002
100,A,47310.763
128,A,329592.163
137,A,218611.395
144,A,111299.732
148,A,78579.584
162,A,204075.202
170,A,221730.795
194,A,390023.763
215,A,377319.533
244,A,547940.247
248,A,70371.40599999999
250,A,31260.385
254,A,128657.49600000001
264,A,209372.289
319,A,942636.1000000001
323,A,51183.657
330,A,95845.053
332,A,22337.836
337,A,98899.04
340,A,60319.384
342,A,36356.511
382,A,776025.077
389,A,119477.355
391,A,58110.106999999996
392,A,3848.426
411,A,375026.717
427,A,289251.33499999996
472,A,790335.6730000001
474,A,29787.023999999998
486,A,203054.17299999998
491,A,60729.431
497,A,105791.37299999999
500,A,34012.421
503,A,100142.709
506,A,23723.931
508,A,20685.795
515,A,159329.087
526,A,323937.323
536,A,133494.28900000002
542,A,93920.43
545,A,18172.791
557,A,302738.919
569,A,397350.20200000005
572,A,64547.867999999995
586,A,227763.586
590,A,111069.98199999999
604,A,242241.208
626,A,459921.65499999997
629,A,80045.318
638,A,158471.463
649,A,259177.1
679,A,544024.216
708,A,434226.323
718,A,130529.57
724,A,97041.94099999999
726,A,34555.254
731,A,57223.19
745,A,238698.647
754,A,142778.528
759,A,45885.745
767,A,117441.274
784,A,362428.25399999996
792,A,129809.394
795,A,148649.31100000002
813,A,350266.88300000003
825,A,277130.364
845,A,417211.306
854,A,90398.061
870,A,259363.705
878,A,147403.56900000002
907,A,489536.62100000004
915,A,101441.27500000001
916,A,11045.038999999999
926,A,84008.622
934,A,191769.992
960,A,355826.845
970,A,161386.891
973,A,59806.22
977,A,86866.21800000001
978,A,69017.73199999999
983,A,58611.904
987,A,86947.512
999,A,303807.647
1008,A,90738.82
1012,A,38977.871
1023,A,239002.051
1043,A,283105.033
1049,A,88384.56999999999
1050,A,17309.958000000002
1064,A,208888.295
1065,A,3779.705
1068,A,27634.898
1075,A,130734.58099999999
1102,A,259265.785
1109,A,114441.559
1112,A,74715.31199999999
1117,A,101383.54800000001
1119,A,54866.76
1120,A,5062.795
1142,A,463653.18100000004
1157,A,343045.66699999996
1160,A,26360.733
1168,A,207362.399
1169,A,10248.003999999999
1174,A,63081.76
1176,A,14152.516
1181,A,129173.847
1206,A,507069.338
1210,A,105277.813
1214,A,31111.635
1217,A,88165.234
1218,A,13833.883
1224,A,120519.35
1226,A,13040.350999999999
1229,A,30532.528
1239,A,229017.281
1253,A,219424.473
