description,iteration,total_exec_time,shared_blks_read,local_blks_read,blk_read_time,rowcount,relpages,reltuples,cpu_cost_per_tuple_relative
PgSQL Test 1 1m SELECT WITH PREDICATES,1,692.069145,10811,0,1665,1,10811,1000000,6309.89
PgSQL Test 2 1m SELECT WITHOUT PREDICATES,1,93.150552,0,0,0,1,10811,1000000,6208.57
PgSQL Test 3 1m INSERTION,1,91.728716,7,0,3,1,10811,1000000,12749.44
PgSQL Test 1 1m SELECT WITH PREDICATES,2,232.22067199999998,10811,0,388,1,10811,1000000,6309.89
PgSQL Test 2 1m SELECT WITHOUT PREDICATES,2,112.534355,0,0,0,1,10811,1000000,6208.57
PgSQL Test 3 1m INSERTION,2,216.26367499999998,7,0,0,1,10811,1000000,12749.44
PgSQL Test 1 1m SELECT WITH PREDICATES,3,208.86023,10811,0,319,1,10811,1000000,6309.89
PgSQL Test 2 1m SELECT WITHOUT PREDICATES,3,139.81960800000002,0,0,0,1,10811,1000000,6208.57
PgSQL Test 3 1m INSERTION,3,117.170688,7,0,0,1,10811,1000000,12749.44
PgSQL Test 1 1m SELECT WITH PREDICATES,4,192.349832,10811,0,299,1,10811,1000000,6309.89
PgSQL Test 2 1m SELECT WITHOUT PREDICATES,4,97.979752,0,0,0,1,10811,1000000,6208.57
PgSQL Test 3 1m INSERTION,4,93.743313,7,0,0,1,10811,1000000,12749.44
PgSQL Test 1 1m SELECT WITH PREDICATES,5,144.29335200000003,10811,0,207,1,10811,1000000,6309.89
PgSQL Test 2 1m SELECT WITHOUT PREDICATES,5,266.059998,0,0,0,1,10811,1000000,6208.57
PgSQL Test 3 1m INSERTION,5,200.247972,7,0,0,1,10811,1000000,12749.44
PgSQL Test 1 1m SELECT WITH PREDICATES,6,197.70285800000002,10811,0,307,1,10811,1000000,6309.89
PgSQL Test 2 1m SELECT WITHOUT PREDICATES,6,159.220349,0,0,0,1,10811,1000000,6208.57
PgSQL Test 3 1m INSERTION,6,98.86012,7,0,0,1,10811,1000000,12749.44
PgSQL Test 1 1m SELECT WITH PREDICATES,7,231.545886,10811,0,397,1,10811,1000000,6309.89
PgSQL Test 2 1m SELECT WITHOUT PREDICATES,7,97.33955499999999,0,0,0,1,10811,1000000,6208.57
PgSQL Test 3 1m INSERTION,7,99.45401399999999,7,0,0,1,10811,1000000,12749.44
PgSQL Test 1 1m SELECT WITH PREDICATES,8,178.82941699999998,10811,0,287,1,10811,1000000,6309.89
PgSQL Test 2 1m SELECT WITHOUT PREDICATES,8,218.630923,0,0,0,1,10811,1000000,6208.57
PgSQL Test 3 1m INSERTION,8,97.651831,8,0,1,1,10811,1000000,12749.44
PgSQL Test 1 1m SELECT WITH PREDICATES,9,230.39026700000002,10811,0,362,1,10811,1000000,6309.89
PgSQL Test 2 1m SELECT WITHOUT PREDICATES,9,110.65687100000001,0,0,0,1,10811,1000000,6208.57
PgSQL Test 3 1m INSERTION,9,109.760796,7,0,0,1,10811,1000000,12749.44
PgSQL Test 1 1m SELECT WITH PREDICATES,10,216.983116,10811,0,312,1,10811,1000000,6309.89
PgSQL Test 2 1m SELECT WITHOUT PREDICATES,10,109.819569,0,0,0,1,10811,1000000,6208.57
PgSQL Test 3 1m INSERTION,10,324.395134,7,0,0,1,10811,1000000,12749.44
PgSQL Test 1 1m SELECT WITH PREDICATES,11,220.043721,10811,0,383,1,10811,1000000,6309.89
PgSQL Test 2 1m SELECT WITHOUT PREDICATES,11,130.908812,0,0,0,1,10811,1000000,6208.57
PgSQL Test 3 1m INSERTION,11,100.489114,7,0,0,1,10811,1000000,12749.44
PgSQL Test 1 10m SELECT WITH PREDICATES,1,5607.987563,108109,0,14562,1,108109,10020742,54243.08
PgSQL Test 2 10m SELECT WITHOUT PREDICATES,1,5689.787873,108010,0,14562,1,108109,10020742,53191.6
PgSQL Test 3 10m INSERTION,1,1340.15325,107921,0,406,1,108109,10020742,127795.06
PgSQL Test 1 10m SELECT WITH PREDICATES,2,1219.6747349999998,108109,0,592,1,108109,10020742,54243.08
PgSQL Test 2 10m SELECT WITHOUT PREDICATES,2,1005.875192,108009,0,473,1,108109,10020742,53191.6
PgSQL Test 3 10m INSERTION,2,1279.321554,107919,0,245,1,108109,10020742,127795.06
PgSQL Test 1 10m SELECT WITH PREDICATES,3,1283.233635,108109,0,716,1,108109,10020742,54243.08
PgSQL Test 2 10m SELECT WITHOUT PREDICATES,3,1290.202571,108009,0,525,1,108109,10020742,53191.6
PgSQL Test 3 10m INSERTION,3,1285.027892,107919,0,247,1,108109,10020742,127795.06
PgSQL Test 1 10m SELECT WITH PREDICATES,4,1031.908469,108109,0,470,1,108109,10020742,54243.08
PgSQL Test 2 10m SELECT WITHOUT PREDICATES,4,1143.8427230000002,108009,0,574,1,108109,10020742,53191.6
PgSQL Test 3 10m INSERTION,4,1387.478362,107919,0,267,1,108109,10020742,127795.06
PgSQL Test 1 10m SELECT WITH PREDICATES,5,1076.400048,108109,0,484,1,108109,10020742,54243.08
PgSQL Test 2 10m SELECT WITHOUT PREDICATES,5,1105.245936,108009,0,507,1,108109,10020742,53191.6
PgSQL Test 3 10m INSERTION,5,1440.985304,107919,0,273,1,108109,10020742,127795.06
PgSQL Test 1 10m SELECT WITH PREDICATES,6,1297.906428,108109,0,564,1,108109,10020742,54243.08
PgSQL Test 2 10m SELECT WITHOUT PREDICATES,6,1306.0445089999998,108009,0,558,1,108109,10020742,53191.6
PgSQL Test 3 10m INSERTION,6,1221.9358300000001,107919,0,254,1,108109,10020742,127795.06
PgSQL Test 1 10m SELECT WITH PREDICATES,7,1209.222516,108109,0,540,1,108109,10020742,54243.08
PgSQL Test 2 10m SELECT WITHOUT PREDICATES,7,1157.807214,108009,0,538,1,108109,10020742,53191.6
PgSQL Test 3 10m INSERTION,7,1131.308483,107919,0,227,1,108109,10020742,127795.06
PgSQL Test 1 10m SELECT WITH PREDICATES,8,1195.7643520000001,108109,0,494,1,108109,10020742,54243.08
PgSQL Test 2 10m SELECT WITHOUT PREDICATES,8,1169.9518170000001,108009,0,528,1,108109,10020742,53191.6
PgSQL Test 3 10m INSERTION,8,1135.704585,107919,0,230,1,108109,10020742,127795.06
